valor_aluguel,area_m2,ano_construcao,codigo_localidade,numero_banheiros,numero_cozinhas,codigo_bairro
120.97436,35,1939,1,0,0,1112
436.97433,104,1939,1,1,0,1112
355.7436,29,1971,2,0,0,2114
282.9231,39,1972,2,0,0,2148
807.2308,97,1985,1,0,0,2222
482.82053,62,1962,1,0,0,2222
323.69232,31,1965,1,0,0,2211
370.97437,61,1957,2,1,0,2142
373.69232,72,1978,1,0,0,2143
521.6923,75,1968,1,0,0,2142
644.2051,65,1956,2,0,0,2113
700.46155,91,1984,1,0,0,1402
781.1282,100,1959,1,0,0,1516
412.30768,32,1994,1,0,0,1541
330.30768,64,1962,1,0,0,1123
245.89743,63,1929,1,0,0,1132
557.02563,103,1955,1,1,0,1111
424.97437,73,1980,1,0,0,1133
330.20514,60,1957,1,0,0,1123
292.30768,58,1934,1,0,0,1133
333.53848,32,1972,1,0,0,1134
322.2564,81,1996,1,0,1,1212
185.48718,39,1935,1,0,0,1132
472.05127,108,1955,1,1,0,1111
685.5385,87,1979,2,1,1,2145
509.1282,60,1939,2,0,0,2145
688.97437,125,1979,1,0,0,2412
205.33333,67,1964,1,0,0,2314
368.76923,80,1972,1,0,0,2314
636.4103,74,1957,1,0,0,2414
237.89743,42,1962,1,0,0,2314
413.23077,39,1996,1,0,0,2314
846.1026,90,1983,2,0,1,2144
375.6923,80,1971,1,0,0,1012
329.89743,41,1960,1,0,0,2421
303.7949,59,1960,1,0,0,2421
925.2821,107,1918,2,0,0,231
483.02567,63,1929,1,0,0,210
1150.1539,156,1918,2,0,0,210
531.3846,110,1918,2,0,0,232
664.0513,64,1918,3,0,0,911
312.6154,75,1960,3,0,0,924
377.58975,54,1934,2,0,0,922
521.53845,70,1970,1,0,1,1022
471.84613,71,1970,1,0,0,2314
345.89743,33,1967,3,0,0,964
114.46154,35,1939,1,0,0,2314
326.35898,27,1972,2,0,0,922
390.51282,48,1972,3,0,0,911
542.71796,54,1986,2,0,0,964
336.97433,30,1972,1,0,0,2121
486.05127,86,1965,1,0,0,963
433.28207,60,1957,2,0,0,961
713.53845,87,1981,1,0,0,1361
537.3334,78,1991,1,0,0,1346
396.92307,78,1969,1,0,0,1342
528.7692,96,1967,1,0,0,1341
478.82053,71,1965,2,0,0,1544
471.79486,59,1986,1,1,0,1322
341.79486,82,1982,1,0,0,1313
373.02567,87,1972,1,0,0,1345
404.71796,78,1929,1,0,0,1011
530.20514,75,1967,1,1,1,2441
333.7949,70,1965,1,0,0,2441
369.33334,57,1972,1,0,0,2421
704.10254,75,1984,1,0,0,2425
221.02563,64,1957,1,0,0,2422
705.38464,58,1994,2,0,0,2146
384,57,1918,2,0,0,2135
808.3077,123,1918,2,0,0,563
427.02563,60,1956,1,0,0,552
899.6923,91,1958,1,0,0,563
462.2564,53,1956,1,0,0,1711
648.4103,88,1960,1,0,0,1822
239.28206,56,1929,1,0,0,1713
410.10257,84,1956,2,0,0,1373
601.53845,75,1994,1,1,0,1402
387.28204,77,1964,1,0,0,1406
341.9487,77,1961,1,0,0,521
473.1795,54,1990,1,0,0,1014
316.66666,71,1965,1,0,0,2441
477.94873,85,1957,1,0,0,1016
606.1026,58,1994,2,0,0,1532
565.0257,84,1973,1,0,0,1642
291.3846,67,1972,1,0,0,1402
575.9487,96,1924,1,0,0,1013
363.84616,54,1979,1,0,1,1015
302.9231,42,1971,1,0,0,1012
466.15384,72,1983,1,1,0,1013
435.43588,61,1983,1,0,0,1013
212.25641,46,1965,1,0,0,1957
419.64102,36,1985,3,0,0,1955
566.4103,61,1983,1,0,0,1957
375.58975,46,1991,1,0,0,1934
276.71793,28,1965,1,0,0,1934
1035.4359,105,1991,2,1,0,1927
830.1539,70,1987,3,0,0,1952
339.4359,49,1957,2,0,0,2026
748.71796,88,1983,1,1,0,2024
424.15384,81,1962,1,0,0,734
601.28204,87,1972,1,0,0,2024
456.2051,55,1969,1,0,0,2027
506.5641,65,1939,2,0,0,2032
503.53848,82,1941,1,0,0,734
243.38461,48,1929,1,0,0,163
247.74359,39,1957,2,0,0,153
461.1282,88,1957,2,0,0,162
338.15387,57,1964,2,0,0,522
414.56412,68,1918,2,0,0,532
352.56412,59,1958,2,0,0,1532
497.64105,74,1964,1,0,0,2011
418.6154,70,1939,1,0,0,2522
359.79486,47,1964,1,0,0,2011
284.6154,50,1990,2,0,0,2526
270.30768,68,1955,1,0,0,2523
339.07693,87,1969,1,0,0,2526
430.92307,45,1973,2,0,0,2135
292.82053,51,1971,1,0,0,2134
646.1026,80,1969,2,0,1,2525
584,77,1936,1,0,0,2524
387.89746,63,1951,1,0,0,2512
238.97437,70,1965,1,0,0,2314
478.0513,72,1972,1,0,0,2314
623.43585,70,1971,1,0,0,2411
316.35898,55,1971,1,0,0,1025
667.3334,82,1996,1,0,1,2314
400.15384,74,1972,1,0,0,2314
500.97437,83,1972,1,0,0,2313
420.5641,107,1972,2,0,0,1957
535.12823,55,1959,1,0,0,1927
399.28204,65,1957,1,0,0,1912
386.41025,65,1974,1,0,0,1013
513.28204,45,1991,1,0,0,1013
794.2564,78,1986,1,0,0,1013
318.51282,29,1974,1,0,0,1013
278.3077,31,1963,1,0,0,1013
384.92307,84,1962,2,0,0,2131
623.8974,82,1995,2,0,0,2113
409.79486,48,1983,1,0,0,2113
510.41025,53,1993,1,0,1,2148
520.4103,66,1971,2,0,0,2113
601.1795,62,1984,1,0,0,2149
602.87177,68,1971,1,1,0,2324
597.2308,63,1929,2,0,0,2134
451.17947,57,1995,2,0,0,2113
904.7179,100,1994,1,0,0,2234
871.02563,85,1995,1,1,0,2234
530.35895,53,1971,1,0,0,2325
736.1539,100,1972,1,0,0,811
838.46155,90,1991,1,0,1,2226
511.48718,57,1970,1,0,0,2011
365.9487,62,1962,1,0,0,2513
497.48715,98,1918,1,0,0,2135
538.3077,54,1988,2,0,0,2515
383.07693,57,1996,1,0,0,2523
346.76923,72,1951,2,0,0,2522
313.33334,47,1957,1,0,0,2524
689.89746,76,1964,2,0,0,2526
417.84616,108,1956,2,0,0,2524
560.5128,85,1957,2,0,0,371
337.7436,52,1957,2,0,0,372
563.4872,79,1918,2,0,0,220
525.2308,79,1957,2,0,0,360
208.10255,30,1956,2,0,0,360
517.02563,60,1990,1,0,1,2314
424.56412,50,1979,1,0,0,2412
914.0513,65,1984,2,0,0,162
534.2051,72,1958,2,0,0,153
490.66666,66,1957,2,0,0,113
415.7436,93,1955,1,1,0,1112
594.9743,70,1964,1,0,0,1132
383.23077,66,1957,1,0,0,1132
421.17947,101,1959,1,0,0,1371
1009.02563,140,1957,3,0,0,1331
582.61536,75,1968,2,0,0,1333
710.1539,79,1962,1,0,0,1371
793.1282,105,1980,1,1,0,1313
847.53845,117,1980,1,1,0,1313
383.23077,54,1995,2,0,0,2113
385.7436,82,1929,2,0,0,411
328.71796,55,1918,2,0,0,1243
391.02563,71,1957,2,0,0,1243
704.10254,98,1957,2,0,0,1243
618.5128,72,1918,2,0,0,113
345.33334,62,1929,2,0,0,1243
256,29,1971,2,0,0,415
550.9231,61,1969,1,0,0,724
218.05128,94,1929,1,0,1,2513
652.5641,74,1948,3,0,1,925
277.69232,39,1968,1,0,0,1942
482.46152,63,1968,1,0,0,2515
132.61539,46,1954,1,0,0,2522
626.97437,88,1971,2,0,0,925
474.92307,44,1957,1,0,0,916
306.92307,68,1929,2,0,0,926
481.0769,83,1957,2,0,0,411
307.64105,76,1918,2,0,0,426
1149.5385,140,1929,2,1,0,1243
510.41025,100,1935,2,0,0,1243
245.89743,30,1959,2,0,0,425
480.46155,100,1968,1,0,0,1641
254.35898,45,1936,1,0,0,1612
390.76923,73,1955,1,0,0,1401
249.74359,51,1954,1,0,0,1612
362.05127,79,1969,1,0,0,1622
490,67,1973,2,1,0,1531
77.07693,39,1949,1,0,0,1613
333.1795,56,1969,2,0,0,1408
382.2564,58,1939,1,0,0,1612
417.02563,45,1996,2,0,0,1542
507.94873,52,1918,1,1,0,1812
297.23074,41,1994,1,0,0,1831
543.7436,105,1973,1,0,0,1713
477.58975,73,1960,1,0,0,1822
642,73,1960,1,0,0,1822
460.51282,110,1954,1,1,0,1722
515.38464,110,1960,1,0,0,1615
590.61536,64,1961,1,0,0,1631
418.51282,60,1963,1,0,0,1615
298.56412,30,1972,1,0,0,1615
148.51282,60,1952,1,0,0,1714
544.1538,101,1957,1,0,0,1721
435.1282,80,1929,1,0,0,1714
483.7436,110,1963,1,1,0,1722
395.58975,50,1973,1,0,0,1615
429.53845,82,1954,1,0,0,1722
264.6154,40,1970,1,0,0,1013
408.0513,75,1994,1,1,0,2412
180.71794,87,1966,1,0,0,2441
376.97433,55,1971,1,0,0,1012
522.5641,70,1972,1,0,0,2421
642.10254,80,1984,2,0,0,1615
344.15384,71,1957,1,0,0,1402
471.79486,69,1971,1,0,0,1642
530.20514,84,1968,1,0,0,1641
633.69226,76,1956,1,0,0,1542
479.48718,92,1955,1,1,0,1112
493.4359,67,1960,1,0,0,2421
233.28204,80,1958,1,0,0,2425
144.5641,50,1957,2,0,0,1334
626.56415,70,1939,2,0,0,734
620.6667,65,1972,1,0,0,2025
368.46155,60,1972,1,0,0,1944
463.53848,67,1965,1,0,0,1944
593.28204,69,1929,2,0,0,926
354.51282,28,1959,2,0,0,926
422.9231,86,1970,1,0,0,2121
378.6154,63,1962,1,0,0,1832
548.5128,62,1994,2,1,0,2131
792.46155,88,1982,1,1,0,2135
521.9487,90,1994,2,0,0,2143
753.28204,65,1956,1,0,0,2323
596.359,75,1972,1,0,0,1321
409.94873,76,1967,1,0,0,1342
626.05133,66,1937,2,0,0,1243
606.97437,49,1971,2,0,0,1262
495.9487,80,1918,3,0,0,1250
372,82,1964,1,0,0,1342
307.23074,59,1940,1,0,0,2525
348.15387,62,1954,2,0,0,2522
248.35896,57,1936,1,0,0,2524
282.6154,29,1983,1,0,0,2523
398.9231,48,1967,1,0,0,2522
453.84616,50,1972,1,0,0,2524
336.92307,90,1950,1,0,0,2512
238.82053,23,1972,2,0,0,1261
353.7436,30,1973,1,0,0,551
371.23077,76,1918,1,0,0,1713
365.1282,26,1957,1,0,0,611
252.82051,50,1918,1,0,0,611
473.89743,85,1973,2,0,0,711
251.58975,38,1955,1,0,0,711
392.56412,87,1936,2,0,0,712
890.97437,85,1939,1,0,1,2024
201.53847,32,1973,1,0,0,611
441.6923,48,1962,1,0,0,711
285.6923,39,1958,1,0,0,1912
540.5128,80,1965,2,0,0,2025
356.6154,42,1957,2,0,0,1262
292.2564,82,1918,1,0,0,1713
296.97433,35,1960,1,0,0,1822
712.46155,81,1955,3,0,0,1373
833.3333,81,1918,2,0,0,232
274.56412,53,1961,2,0,0,532
700.8205,85,1918,2,0,0,231
626.1026,77,1957,2,0,0,231
404.46155,137,1939,1,1,0,522
540.4103,56,1918,2,0,0,231
438.15387,80,1918,2,0,0,220
439.89743,44,1957,2,0,0,1407
173.1282,65,1956,2,0,0,1242
446.30768,110,1924,1,0,0,1236
733.8974,120,1918,2,0,0,1242
328.82053,32,1983,1,0,0,2522
454.35898,48,1983,1,0,0,2114
613.4872,74,1939,2,0,0,942
571.641,74,1973,1,0,0,2513
734.5128,100,1981,2,1,0,2142
391.0769,61,1918,1,0,0,422
506.76923,92,1939,1,0,0,1122
407.02563,60,1964,1,0,0,1121
284.3077,38,1959,2,0,0,941
597.9487,95,1957,1,0,0,951
294.51282,54,1918,1,0,0,962
253.38461,33,1957,2,0,0,942
356.8205,82,1969,2,0,0,951
491.7436,55,1984,1,0,0,2512
371.64102,40,1958,2,0,0,941
333.48718,93,1929,1,0,0,2513
619.53845,76,1918,1,0,0,962
419.7436,63,1950,1,0,0,2512
593.94867,85,1997,1,0,0,1321
378.0513,56,1963,1,0,0,1342
339.48718,58,1972,1,0,0,1362
356.2564,32,1972,1,0,0,1321
382.2564,30,1968,3,0,0,927
214.3077,28,1970,3,0,0,925
553.69226,63,1991,1,0,0,2221
654.92303,60,1918,2,0,0,913
377.53848,84,1935,3,0,0,925
464.66666,65,1957,1,0,0,2221
502.97437,105,1929,3,0,0,925
501.1282,77,1939,1,0,0,927
665.7949,85,1996,1,0,1,2324
384.92307,70,1929,1,0,0,915
222.92308,47,1929,1,0,0,916
513.1795,80,1972,2,0,0,914
592.4102,77,1962,1,0,0,1714
552.46155,111,1954,1,1,0,1722
379.79486,58,1962,1,0,0,1714
464.46155,82,1954,1,0,0,1722
484.97437,73,1973,1,0,0,1643
514,70,1973,1,0,0,1643
498.20514,98,1959,1,0,0,1714
303.3846,65,1961,1,0,0,1631
851.8461,105,1975,1,0,0,1644
485.89743,63,1982,1,0,0,1646
510,76,1955,2,0,0,1842
285.53845,79,1939,1,0,0,816
344.6154,109,1924,1,0,0,816
589.28204,64,1918,1,0,0,822
795.5898,78,1972,2,0,1,532
465.17947,110,1957,3,0,0,911
385.23077,61,1969,1,0,0,1013
507.89746,70,1991,1,1,0,1013
300.15384,80,1918,1,0,0,1014
388.2564,48,1972,1,0,0,1013
374.82053,83,1929,1,1,0,1025
426.51282,48,1972,1,0,0,1013
501.9487,69,1957,1,0,0,1025
503.23077,40,1964,1,0,0,1362
556.82056,54,1984,1,0,0,1361
824.4615,107,1969,2,0,0,1312
553.53845,126,1957,1,0,0,1112
551.53845,55,1957,2,0,0,273
875.2308,128,1929,1,1,0,273
356.2564,89,1980,2,1,0,943
407.43588,110,1918,2,0,0,813
280.30768,28,1969,2,0,0,563
238.3077,35,1918,1,0,0,1711
599.9487,54,1918,2,0,0,284
235.6923,53,1957,1,0,0,282
258.92307,95,1918,1,0,0,816
661.28204,123,1929,1,0,0,816
507.7949,56,1939,1,0,0,621
977.1795,92,1994,2,1,0,1541
1334.9744,132,1995,2,0,0,1543
574.0513,58,1957,2,0,0,1544
929.3333,95,1976,3,0,0,1952
1168.9744,100,1967,3,1,0,1952
732.3077,80,1970,2,0,0,1931
290.2564,28,1992,2,0,0,1934
434,80,1973,1,0,0,2024
690.35895,65,1965,1,0,0,1944
532.61536,46,1991,2,0,0,282
505.02563,79,1991,1,0,0,1213
425.53845,56,1988,1,0,0,1133
524.6666,75,1972,1,0,0,1013
298.20514,49,1957,2,0,0,360
410.51282,75,1957,2,0,0,360
418.6154,74,1929,2,0,1,153
342.05127,31,1929,2,0,0,360
164.15385,45,1918,1,0,0,816
365.9487,75,1959,2,0,0,360
384.51282,60,1957,2,0,0,360
265.84616,49,1959,2,0,0,372
459.4359,101,1918,2,0,0,360
492.35895,80,1929,2,0,0,421
302.9231,35,1929,2,0,0,372
372,138,1918,2,0,0,133
675.64105,84,1918,2,0,0,360
168.97437,30,1970,1,0,0,2513
466.66666,58,1970,2,0,0,2526
275.58975,85,1964,2,0,0,2524
452,50,1957,2,0,0,2012
178.82053,56,1956,1,0,0,2522
376.97433,62,1962,2,0,0,2523
355.6923,52,1969,1,0,0,2522
338,64,1963,2,0,0,2526
197.74359,22,1958,1,0,0,2514
498.97437,86,1962,1,0,0,2513
240.5641,52,1960,2,0,0,2526
526.97437,51,1971,1,0,0,1615
168.25641,60,1939,1,0,0,1714
368.56412,54,1959,1,0,0,1714
345.3846,47,1971,1,0,0,1713
186.71796,48,1918,1,0,0,1711
799.0769,84,1970,1,0,0,1713
373.84616,50,1957,2,0,0,563
130.82051,49,1953,1,0,0,1712
407.94873,55,1957,1,0,0,1713
446.6154,58,1971,2,0,0,1851
537.12823,64,1972,1,0,0,1957
571.1282,70,1940,2,0,0,732
355.7436,63,1961,1,0,0,1926
698.359,85,1970,2,0,0,1935
304,45,1972,2,0,0,1957
218.71794,50,1965,2,0,0,1933
628.1539,60,1992,1,0,1,622
256.66666,64,1929,1,0,0,1912
414.92307,74,1957,1,0,0,623
222.5641,30,1956,1,0,0,624
527.2308,76,1971,1,0,0,724
397.3846,50,1929,1,0,0,623
510.2564,64,1972,1,0,0,723
193.33333,55,1939,2,0,0,532
241.84616,79,1918,2,0,0,522
884.8205,137,1918,1,1,0,163
655.4359,145,1929,2,1,0,163
507.1282,56,1957,1,0,0,522
466.2051,102,1918,2,0,0,153
320.76923,34,1971,1,0,0,163
261.64102,30,1918,1,0,0,611
432.51285,64,1972,1,0,0,1944
367.64105,59,1973,2,0,0,711
643.3333,77,1957,2,0,0,2026
478.6667,55,1957,1,0,0,611
430.6154,44,1984,2,0,0,1943
203.64102,49,1918,2,0,0,541
540.3077,48,1955,1,0,0,1363
411.3846,56,1969,1,0,0,1642
1372.5128,155,1918,2,0,0,163
415.02563,118,1918,1,0,0,163
362.46152,71,1956,2,0,0,152
985.89746,160,1918,2,0,0,383
349.53845,36,1959,2,0,0,350
425.58975,93,1918,1,0,0,623
584.3077,63,1991,1,0,0,714
576.82056,89,1960,2,0,0,411
274.71796,67,1918,2,0,0,426
711.2308,59,1924,2,0,0,411
666.6667,63,1957,2,0,0,426
624.2564,77,1972,1,1,1,2314
753.69226,88,1964,1,0,0,962
188.51282,70,1957,1,0,0,914
340.10257,57,1939,1,0,0,963
868.359,49,1988,2,0,0,964
307.69232,33,1939,1,0,0,963
475.17947,88,1983,1,0,0,1642
623.1282,78,1955,1,0,1,1363
523.02563,76,1977,1,0,0,1363
591.3846,102,1970,1,0,0,1375
404.2564,74,1970,1,0,0,1402
439.7436,64,1958,1,0,0,2132
612.7692,55,1983,1,0,0,2221
417.02563,73,1969,1,0,0,2221
644.7692,65,1967,1,0,0,2514
774.5128,98,1966,1,0,0,2221
417.69232,55,1955,1,0,1,1123
469.07693,110,1955,1,1,0,1111
1260.5128,104,1918,1,0,0,242
371.89743,81,1939,2,0,0,233
407.0769,78,1936,2,0,0,233
356.2564,35,1958,2,0,0,350
172.97435,45,1939,2,0,0,415
485.33334,55,1972,2,0,0,425
634.4615,75,1973,2,0,0,1544
529.8461,42,1983,1,0,0,1512
659.9487,75,1955,2,0,0,2123
313.33334,68,1965,1,0,0,422
213.33333,22,1970,1,0,0,2513
152.46153,59,1952,1,0,0,2522
650.6667,57,1972,2,0,0,2526
428.0513,69,1963,2,0,0,2526
377.7436,66,1963,2,0,0,563
417.43588,95,1929,1,0,0,1711
911.53845,108,1989,1,0,0,563
289.69232,60,1950,1,0,0,552
308.6667,31,1929,1,0,0,1812
882,130,1918,1,0,0,552
482.41025,56,1957,2,0,0,563
394.46155,44,1973,1,1,0,2322
273.4359,58,1930,1,1,0,916
254.46155,42,1974,2,0,0,914
243.89745,78,1918,2,0,0,961
184.82051,50,1929,2,0,0,914
670.87177,74,1959,2,0,1,411
686.82056,104,1957,2,0,0,414
615.8462,58,1959,2,0,0,1261
480.05127,90,1957,2,0,1,414
914.61536,96,1929,2,0,0,414
583.17944,63,1939,2,0,0,411
322.41025,58,1956,2,0,0,411
507.3846,68,1918,2,0,0,411
590.4103,65,1957,2,0,0,412
705.7949,80,1929,2,0,0,914
455.48718,55,1929,2,0,0,942
237.17949,35,1975,1,0,1,713
380.66666,88,1929,2,0,0,941
390.41025,85,1958,2,0,0,425
345.3846,42,1952,1,0,0,1236
1083.7948,96,1918,2,1,0,1242
495.07693,68,1972,1,0,0,422
1075.641,110,1939,1,1,0,1313
436.05127,71,1918,2,0,0,231
633.69226,108,1918,2,0,0,231
527.38464,92,1972,1,0,0,1342
587.38464,57,1994,1,1,0,2131
412.56412,57,1958,1,0,0,2113
595.5385,57,1972,2,0,0,926
543.69226,92,1963,1,0,0,2135
419.1795,75,1957,2,0,0,415
322.41025,61,1957,2,0,0,414
731.9487,89,1973,2,0,0,1244
458.2564,85,1957,1,1,0,1312
860.10254,95,1991,1,0,0,1313
507.3333,56,1983,1,0,1,1312
455.79486,44,1968,2,0,0,2523
558.5128,79,1957,1,0,0,2514
675.4872,76,1924,2,0,0,926
877.53845,155,1918,3,1,0,925
439.4359,97,1960,2,0,0,925
1236.8206,110,1990,1,0,0,1375
319.94873,78,1936,2,0,0,1375
615.3334,73,1993,1,0,0,1714
775.4359,78,1981,1,0,0,1711
679.3333,94,1939,2,1,0,1853
691.2308,72,1918,2,0,1,1852
349.4359,55,1956,2,0,0,331
653.3846,89,1976,1,0,0,2113
519.79486,58,1980,2,0,0,711
484.46155,55,1957,1,0,0,723
600.97437,70,1972,1,0,0,711
361.1282,57,1963,1,0,0,2514
531.53845,110,1965,1,1,0,2514
640.0513,102,1959,1,0,0,711
232.35898,55,1960,1,0,0,2514
593.4872,71,1918,3,0,0,924
214.51282,45,1957,1,0,0,963
505.6923,87,1971,1,0,0,1012
568.97437,76,1959,1,0,0,927
776.1539,152,1918,2,0,0,913
313.1795,80,1957,2,0,0,913
335.58975,54,1970,1,0,0,2113
340.6154,82,1969,2,1,0,521
619.89746,80,1918,2,0,0,232
624.92303,82,1962,1,0,0,1132
476.15384,87,1972,2,1,0,2143
370.71796,73,1962,2,0,0,2524
809.53845,87,1930,1,0,1,624
661.28204,80,1962,1,0,0,624
453.28207,82,1939,1,0,0,623
470,60,1966,2,0,0,2524
491.28204,77,1929,2,0,0,913
357.23074,81,1929,1,0,0,331
168.61537,68,1918,1,0,0,623
336.97433,52,1956,1,0,0,723
390.35898,65,1957,1,0,0,1831
451.6923,85,1972,1,1,0,1011
368.15387,96,1936,3,0,0,1335
654.7692,69,1991,1,0,1,1313
247.17949,30,1957,2,0,0,411
343.69232,87,1918,2,0,0,961
373.48718,57,1962,1,0,0,734
599.89746,60,1972,2,0,0,1953
280.05127,40,1966,1,0,0,1957
406.8718,40,1967,1,0,0,1957
358.76923,38,1986,1,0,0,1934
549.64105,78,1971,1,0,0,422
289.84616,30,1956,1,0,0,963
403.58975,79,1929,1,0,0,813
230.71794,82,1918,2,0,0,942
713.3846,129,1918,2,0,0,914
698.0513,80,1958,2,0,0,341
344.51282,35,1953,1,0,0,2512
136.66667,32,1972,1,0,0,2424
413.1795,62,1971,1,0,0,1012
293.94873,46,1959,1,0,0,814
304.82053,75,1956,2,0,0,333
202,45,1929,2,0,0,350
644.10254,70,1918,1,0,0,612
264.97437,29,1957,1,0,0,713
595.9487,52,1961,1,0,0,713
718.46155,69,1918,2,0,0,961
